0831MX,-1,2T28266931,114029056,2015330483
1095MX,-4,2T28266931,114029056,2015330483
3525MX,-1,2T28266931,114029056,2015330483
690095,-1,2T28266780,114028924,2015330516
298A,-1,2T28266780,114028924,2015330516
0963MX,-1,2T28266780,114028924,2015330516
4000MX,-1,2T28266780,114028924,2015330516
9947MX,-1,2T28266780,114028924,2015330516
8504MX,-1,2T28266780,114028924,2015330516
7056MX,-1,2T28266780,114028924,2015330516
1019MX,-1,2T28266780,114028924,2015330516
605894,-2,2ZF6705602,113956024,2015325583
605893,-1,2ZF6705602,113956024,2015325583
605892,-1,2ZF6705602,113956024,2015325583
108NMX,-1,2ZF6705602,113956024,2015325583
0831MX,-1,2ZF6705602,113956024,2015325583
0065MX,-1,2ZF6705602,113956024,2015325583
3175MX,-1,2T28265601,114027697,2015330634
049KMX,-1,2T28266370,114028531,2015330542
1926MX,-1,2T28266370,114028531,2015330542
690095,-1,2T28266339,114028498,2015330575
1926MX,-1,2T28266339,114028498,2015330575
298A,-1,2T28266339,114028498,2015330575
0963MX,-1,2T28266339,114028498,2015330575
4011MX,-1,2T28266339,114028498,2015330575
4000MX,-1,2T28266339,114028498,2015330575
9947MX,-1,2T28266339,114028498,2015330575
1065MX,-1,2T28266339,114028498,2015330575
8504MX,-1,2T28266339,114028498,2015330575
7056MX,-1,2T28266339,114028498,2015330575
605894,-2,2ZF6747676,114027393,2015323785
605893,-1,2ZF6747676,114027393,2015323785
605892,-1,2ZF6747676,114027393,2015323785
108NMX,-1,2ZF6747676,114027393,2015323785
0831MX,-1,2ZF6747676,114027393,2015323785
1473MX,-1,2ZF6747676,114027393,2015323785
0963MX,-1,2ZF6747676,114027393,2015323785
973NMX,-1,2ZF6736565,114009910,2015325093
049KMX,-1,2ZF6736565,114009910,2015325093
0964MX,-1,2ZF6736565,114009910,2015325093
2631MX,-1,2ZF6743700,114021212,2015329680
0922MX,-1,2ZF6743700,114021212,2015329680
0366MX,-1,2ZF6743700,114021212,2015329680
0370MX,-1,2ZF6743700,114021212,2015329680
0032MX,-1,2ZF6743700,114021212,2015329680
1155MX,-1,2ZF6743700,114021212,2015329680
0065MX,-1,2ZF6743700,114021212,2015329680
759NMX,-2,2ZF6690700,113930565,2015325885
0413MX,-1,2ZF6690700,113930565,2015325885
690095,-1,2ZF6735344,114007879,2015330144
298A,-1,2ZF6735344,114007879,2015330144
0963MX,-1,2ZF6735344,114007879,2015330144
4011MX,-1,2ZF6735344,114007879,2015330144
4000MX,-1,2ZF6735344,114007879,2015330144
9947MX,-1,2ZF6735344,114007879,2015330144
0565MX,-1,2ZF6735344,114007879,2015330144
8504MX,-1,2ZF6735344,114007879,2015330144
7056MX,-1,2ZF6735344,114007879,2015330144
1019MX,-1,2ZF6735344,114007879,2015330144
0884MX,-2,2T28251459,113997958,2015331242
2631MX,-4,2T28251459,113997958,2015331242
0964MX,-2,2T28251459,113997958,2015331242
4000MX,-1,2T28251459,113997958,2015331242
3146MX,-2,2T28251459,113997958,2015331242
3176MX,-2,2T28251459,113997958,2015331242
3175MX,-1,2T28251459,113997958,2015331242
N764MX,-1,2ZF6659244,113875525,2015326132
1019MX,-1,2ZF6659244,113875525,2015326132
